LOCATION,SITE_NAME,SHORT_NAME,LATITUDE,LONGITUDE,OZONE_1000PPB,POPULATION_DENSITY
2255,Ojai-Signal,Ojai-Signal,34.4458,-119.2447,37.86426,1.114448853
2263,Escondido-E Valley Parkway,Escndo-EValy,33.1278,-117.0753,28.304103,70.45981445
2266,Fontana-Arrow Highway,Fontana-Arrw,34.1005,-117.4922,27.241828,49.56437012
2269,El Centro-State Street,El_Cent-Stat,32.7919,-115.435,32.641289,0.449451256
2274,San Diego-Island Avenue,Sn_Diego-Isl,32.7272,-117.1536,28.780606,63.74918457
2291,Yuba City-Ag Building,Yuba_City-Ag,39.1222,-121.6033,28.867183,33.93231934
2292,Chino-Central,Chino-Centrl,34.012,-117.688,28.261251,65.38220215
2293,Fremont-Chapel Way,Fremont-Chpl,37.5358,-121.9616,18.605381,104.0171191
2294,Rio Vista-Army Facility,Rio_Vista-Ar,38.156,-121.69,25.15274,5.3812854
2297,Paso Robles-Airport,Paso_Robl-AP,35.627,-120.6897,32.096183,0.795177765
2299,Victorville-Fairgrounds,Victrvll-FG,34.5233,-117.3036,39.647547,7.561711426
2300,Hemet-State Street,Hemet-StateS,33.7416,-116.9583,35.149683,44.52268066
2301,Yucaipa-5th Street,Yucaipa-5thS,34.0341,-116.9458,58.358531,0.365728302
2306,Costa Mesa-Placentia,Cos_Mesa-Plc,33.6561,-117.9297,24.592377,69.17317383
2310,Pasadena-E Walnut Street,Pasadena-EWl,34.1494,-117.8763,32.80127,0.109695301
2312,Edison,Edison,35.3458,-118.8505,37.60502,0.607496796
2313,Redding-Continental,Redding-Cntn,40.5847,-122.3858,31.367633,27.56221924
2320,Gilroy-9th Street,Gilroy-9th,36.9997,-121.5752,23.090589,54.16929199
2321,Morro Bay,Morro Bay,35.3664,-120.8428,27.885086,13.60302856
2324,Sacramento-Meadowview Road,Sacto-Meadow,38.4803,-121.4745,26.88476,69.21843262
2325,San Francisco-Ellis Street,S_F-Ellis,37.7841,-122.4311,3.457143,294.1221484
2327,El Cajon-Redwood Avenue,El_Cajon-Rdw,32.7908,-116.9424,26.799641,52.69236816
2329,Davenport,Davenport,37.0119,-122.1939,26.159347,0.277468376
2332,Nipomo-South Wilson Street,Nipomo-S_Wls,35.0397,-120.4793,26.121063,4.174802551
2333,Riverside-Magnolia,Rvrside-Mgnl,33.9463,-117.4011,29.903433,31.09933105
2335,Sacramento-1025 P Street,Sacto-1025_P,38.582,-121.493,18.313804,63.58881348
2342,Paso Robles-10th Street,Pas_Rob-10th,35.6333,-120.6916,21.128331,0.795177765
2345,Twentynine Palms-Adobe Road,29_Palm-Adbe,34.1437,-116.0541,43.265416,13.86171387
2347,Willits-Firehouse,Willits-Fire,39.413,-123.3536,13.25618,1.254887009
2353,Yosemite Village-Visitor Center,Yos_Villg-VC,37.7486,-119.5869,27.892315,0.161195431
2360,Lompoc-S H Street,Lompoc-S_HSt,34.6377,-120.4577,27.746704,45.35113281
2365,San Francisco-23rd Street,S_F-23rd,37.775,-122.418,12.545676,294.1221484
2367,Fresno-Olive Street,Fresno-Olive,36.7252,-119.75,24.674205,81.12875488
2368,Del Mar-Mira Costa College,Del_Mar-Mira,32.9524,-117.2633,34.224068,42.55770508
2371,Beverly Hills-Franklin Canyon,Bev_Hill-Frn,34.1041,-118.4083,33.509733,20.75366455
2372,Livermore-Old 1st Street,Livrmor-Old1,37.685,-121.7658,20.015975,67.1507373
2373,San Francisco-Arkansas Street,S_F-Arkansas,37.7661,-122.3977,17.864388,406.6251953
2379,West Los Angeles-S Robertson Blvd,W_LA-SRbrtsn,34.046,-118.447,22.56995,86.40413086
2381,Stockton-Union Island,Stockton-Uni,37.958,-121.29,23.11037,90.28141602
2382,Gasquet-Ranger Station,Gasquet-Rngr,41.8333,-123.9666,13.574699,1.290462799
2393,Santa Cruz-Bostwick Lane,S_Cruz-Bstwc,36.9835,-121.9888,20.33858,14.21924072
2395,Arbuckle-Hillgate Road,Arbuckle-Hll,39.0125,-122.0913,34.622426,0.177328606
2396,Mountain Home-SF Headquarters,Mtn_Home-SFH,36.2,-118.7,47.159459,0.009258499
2397,Fairfield-Gregory Street,Fairfld-AQMD,38.2369,-122.0561,22.536969,57.0701416
2401,Westmoreland-Route 86,Westmore-#86,33.1188,-115.1844,45.077778,0
2402,Lodi-Ham,Lodi-Ham,38.13,-121.271,27.987751,29.52539307
2403,Norco-5th Street,Norco-5th,33.9305,-117.5511,31.548723,31.095625
2404,Santa Barbara-Canon Perdido,S_Barbr-Cann,34.4202,-119.6997,22.769009,78.69096191
2405,South Lake Tahoe-3377 Tahoe Blvd,S_Tahoe-3377,38.9458,-119.9669,37.085942,7.745018311
2407,El Cajon,El Cajon,32.795,-116.9619,29.087091,52.69236816
2410,Vallejo-304 Tuolumne Street,Vallejo-304T,38.1025,-122.238,20.377543,43.81933105
2413,San Jose-4th Street,San_Jose-4th,37.34,-121.8874,17.237437,105.7025098
2414,Ojai-1401 Maricopa Highway,Ojai-1401Mar,34.4436,-119.2444,35.290539,1.114448853
2420,Reseda,Reseda,34.1991,-118.5327,27.30536,97.73020508
2427,South Lake Tahoe-Park Avenue,S_Tahoe-Park,38.95,-119.94,31.646565,7.745018311
2428,Fontana-Foothill Blvd,Fontana-Fthl,34.1061,-117.4573,40.958788,46.63984375
2429,North Long Beach,N_Long_Beach,33.8241,-118.1894,19.628067,34.17978516
2437,Crows Landing-Davis,Crow_Land-Dv,37.3711,-121.1322,31.945914,0.007032969
2456,Hollister-Hill,Hollistr-Hll,36.853,-121.401,24.55641,12.33562866
2460,Alpine-Victoria Drive,Alpine-Victo,32.8422,-116.7683,44.672774,10.24234009
2468,San Juan Capistrano,San_Juan_Cap,33.5019,-117.6619,27.396774,67.59219727
2470,Aptos-Soquel,Aptos-Soquel,36.977,-121.898,25.334487,52.85347168
2472,Folsom-City Corporation Yard,Folsom-CityC,38.675,-121.1858,28.267231,38.0518042
2474,Anacapa Island-Lighthouse,Anacapa_Isln,34.0152,-119.3608,41.788711,0
2478,Anderson-Center Street,Anderson-Ctr,40.4516,-122.3,32.074098,13.55087158
2482,La Conchita-7128 Santa Paula,La_Conchita,34.3711,-119.3061,27.990217,12.92195801
2484,Azusa,Azusa,34.1364,-117.9239,27.399374,26.94314453
2485,Upland,Upland-SanBr,34.1033,-117.6288,27.887463,82.96142578
2490,Woodland-West Main Street,Woodlnd-Main,38.6727,-121.7883,23.623292,17.94695801
2492,Burbank-W Palm Avenue,Burbank-WPlm,34.1758,-118.3169,22.399633,117.8006445
2494,West Los Angeles-VA Hospital,W_LA-VA_Hosp,34.0505,-118.4566,24.152314,86.40413086
2498,Modesto-Jennings Road,Modesto-Jngs,37.6388,-120.9961,26.539053,52.28615234
2499,Crestline,Lake_Gregory,34.2413,-117.2755,49.181286,1.742807465
2500,Santa Barbara-W Carillo Street,S_Barbr-WCrl,34.4166,-119.6999,23.562334,78.69096191
2514,Banning-Allesandro,Banning-Alls,33.9211,-116.8583,35.216714,19.80418945
2515,Oceanside-Cleveland,Oceansid-Clv,33.1963,-117.3102,34.132465,75.80296387
2516,Walnut Creek-Geary (Pleasant Hill),Walnut_Creek,37.9266,-122.0782,3.766667,25.65919922
2517,Yosemite-Camp Six,Yosemite-#6,37.5466,-119.8416,39.705,0.19593668
2522,Weaverville-CalTrans,Weavrvl-CalT,40.7311,-122.9411,36.205747,0.015533446
2523,Fresno-Butler,Fresno-Butlr,36.748,-119.771,32.971475,86.13755859
2525,Perris,Perris,33.7888,-117.2277,32.966884,45.415625
2529,Vacaville-Merchant Street,Vacavil-Merc,38.3516,-121.9933,17.516371,18.52387817
2532,Lockwood Valley-Lockwood,Lockwd_Vally,34.75,-118.9133,26.878261,0.000285404
2533,Willow Creek-CSD Highway 96,Willow_Creek,40.94,-123.63,23.043678,1.011918869
2540,Big Bear Lake,Big_Bear_Lak,34.2438,-116.9111,45.915029,1.21917038
2541,Gonzales-High School,Gonzales-HS,36.5116,-121.4405,23.133025,0.372358017
2545,Hanford,Hanford,36.3315,-119.6592,28.610888,10.99912842
2547,Gilroy-Monterey,Gilroy-Mntry,37.006,-121.567,13.517742,54.16929199
2551,El Centro-9th Street,El_Cent-9thS,32.7922,-115.5631,32.537837,6.668357544
2553,Stockton-E Mariposa,Stockton-EMr,37.9052,-121.1463,25.198205,0.606689262
2554,Valley Home-School,Valley_Home,37.8288,-120.9111,34.691837,0.675253372
2561,Brawley-Hovely,Brawley-Hvly,33.0191,-115.4605,42.504598,0.012638375
2562,Oildale-Fire Station #63,Oildale-FS63,35.4311,-118.9791,26.309873,0.040340104
2583,Lynwood,Lynwood,33.9288,-118.2108,16.513598,236.6385156
2586,Ukiah-Health Dept,Ukiah-Hlth_D,39.15,-123.207,17.11774,5.713186035
2589,Chula Vista,Chula Vista,32.6314,-117.0592,30.072016,79.10795898
2591,Madera-Health Dept #2,Madera-HD#2,36.9547,-120.0366,29.0991,63.42293457
2593,Santa Ynez-Airport Road,S_Ynez-Airpt,34.6077,-120.0733,28.605001,5.022474976
2596,Riverside-Rubidoux,Rvrside-Rubi,34.0005,-117.4152,31.322638,21.73096924
2599,Vandenberg Air Force Base-Pt Arguello #1,Van_AFB-Pt#1,34.6838,-120.603,36.597895,0
2600,McKittrick-Highways 58 and 33,McKitr-58&33,35.3125,-119.6166,43.96645,0.042586694
2603,El Toro,El Toro,33.6272,-117.6911,25.59493,12.96871094
2604,Modesto-J Street,Modesto-J_St,37.639,-120.996,18.157457,52.28615234
2609,Santa Maria-McClelland,S_Maria-McCl,34.9527,-120.4319,18.756725,96.14259766
2613,Los Gatos,Los Gatos,37.228,-121.9791,19.373717,39.14047852
2617,Five Points,Five Points,36.3417,-120.1088,27.650891,0.112009544
2622,San Rafael,San Rafael,37.9727,-122.5183,15.343005,74.87938477
2623,Anaheim-Harbor Blvd,Anaheim-Harb,33.8202,-117.9138,20.911929,151.068291
2628,Hollister-Fairview Road,Hollistr-Frv,36.8433,-121.3622,27.921152,53.69270508
2632,Whittier-Leffingwell,Whittier,33.979,-118.032,22.637688,118.5268262
2636,Piru-Main,Piru-Main,34.415,-118.793,48.572619,0.388001785
2640,Port Hueneme-Civil Engineering Lab,Pt_Hueneme,34.148,-119.194,33.426316,51.9192041
2643,Santa Rosa-Humboldt,S_Rosa-Hmbld,38.441,-122.713,14.196347,47.52734863
2646,San Leandro,San Leandro,37.7197,-122.1608,15.389181,74.0317041
2647,Solana Beach-Glenmont,Sol_Bch-Glen,32.998,-116.7333,41.171947,4.853301392
2650,Hesperia-Olive Street,Hesperia,34.4158,-117.2861,43.137713,25.56686279
2655,Napa-Jefferson Avenue,Napa-Jffrsn,38.3113,-122.2941,18.645061,77.31411133
2656,Rocklin-Sierra College,Rocklin-Sier,38.7919,-121.2083,27.807265,17.01381348
2669,San Bernardino,San_Bernar_S,34.1211,-117.3019,41.00628,62.74501953
2671,Grover City-Lesage Drive,Grover_City,35.1239,-120.6322,26.134057,12.58635864
2678,Colfax-Church Street,Colfax-Chrch,39.0994,-120.9541,36.442075,2.61355957
2680,Sequoia Natl Park-Lodgepole,Seq_NP-Ldgpl,36.564,-118.773,37.874194,0.001750453
2681,Simi Valley-Cochran I,Simi_V-CchrI,34.269,-118.78,35.669145,19.47193726
2686,Lompoc-G Street,Lompoc-G_St,34.5136,-120.0055,20.290326,0.032728848
2690,Livermore-Railroad,Livrmor-Rlrd,37.682,-121.767,11.329915,67.1507373
2702,Piru-2 miles SW,Piru-2mi_SW,34.4025,-118.8244,28.280466,0.007467915
2708,Goleta,Goleta,34.4459,-119.8287,28.393563,0.248629341
2709,San Luis Obispo-Marsh Street,S_L_O-Marsh,35.2822,-120.6578,24.135807,28.50988037
2711,Indio-Oasis,Indio-Oasis,33.7083,-115.7797,36.38312,0.000243907
2722,Burney-Siskiyou,Burney-Sskyu,40.8848,-121.6694,25.095933,1.880001068
2724,South Lake Tahoe-Bijou School,S_Tahoe-Biju,38.9416,-119.9583,34.481139,7.745018311
2726,Sonoma-1st Street,Sonoma-1stSt,38.2989,-122.4567,22.650232,44.60955078
2727,Morro Bay-Baywood Substation,Moro_Bay-Byw,35.366,-120.849,23.260423,13.60302856
2731,Sacramento-Del Paso Manor,Sacto-DelPas,38.6136,-121.3678,26.066507,27.36668457
2733,Saratoga-Highway 85 and SP RR,Saratoga,37.2638,-122.0219,10,5.066165466
2739,San Jose-1025 Piedmont Road,Sn_Jose-1025,37.3916,-121.8425,20.810197,120.274248
2744,Colusa-Sunrise Blvd,Colusa-Sunrs,39.1888,-121.998,26.101787,5.97171814
2748,Thousand Oaks-Windsor,1000_Oaks-Wn,34.1935,-118.8665,29.233956,23.81668457
2752,Yreka-Foothill Drive,Yreka-Fthill,41.7267,-122.6336,21.840354,15.7227063
2756,Ventura County-W Casitas Pass Road,WCasitasPass,34.3866,-119.4172,42.875638,0.344872818
2757,Joshua Tree Natl Monument-Lost Horse,Josh_Tr-LHrs,34.018,-116.1894,46.713731,0
2762,Riverside-RCC,Rvrside-RCC,33.953,-117.395,56.296875,45.7492041
2767,Los Angeles-Mt Lee,Ls_Ang-MtLee,34.0583,-117.75,49.844426,103.3404492
2772,Oildale-3311 Manor Street,Oildale-3311,35.4381,-119.0167,35.956636,0.008243731
2781,Santa Ana-Weir Canyon Road,Snta_Ana-Wir,33.7461,-117.8669,18.963178,168.1857813
2789,Salinas-Natividad Road #2,Salinas-Ntvd,36.6986,-121.6325,22.114168,56.28307617
2799,Shaver Lake,Shaver Lake,37.1125,-118.6875,38.474819,7.53e-05
2803,Oakland-Jackson,Oakland-Jcks,37.804,-122.27,8.909877,194.1608789
2804,Bethel Island Road,Bethel_Is_Rd,38.0066,-121.6413,24.582522,4.361209412
2806,Hayward-La Mesa,Hayward,37.6541,-122.0305,24.631196,90.31404297
2810,Concord-Treat Blvd,Concord-Tret,37.8869,-121.9736,5.433333,1.968247833
2818,Broderick-3rd Street,Broderic-3rd,38.5911,-121.5161,18.016322,63.58881348
2821,El Rio-Rio Mesa School,El_Rio-Sch,34.2541,-119.1433,31.641511,23.23823486
2827,Burney-1.5 miles N-Black Ranch,Burney-1.5_N,40.9052,-120.3477,23.419876,0.001916088
2829,Redding-Health Dept Roof,Redding-HDrf,40.5514,-122.3808,28.879063,30.07311279
2830,Phelan-Beekley Road and Phelan Road,Phelan,34.425,-117.5897,49.636479,2.725441895
2831,Concord-2975 Treat Blvd,Concord-2975,37.9391,-122.0247,20.97677,50.71818848
2833,Modesto-14th Street,Modesto-14th,37.6419,-120.9942,23.807459,52.28615234
2844,Fresno-Sierra Skypark #2,Fresno-Sky#2,36.8417,-119.8828,33.463779,21.15680908
2845,Ventura-Figueroa,Ventura-Figu,34.2741,-118.7011,31.282912,8.398435669
2848,Pleasant Grove-4 miles SW,Plsnt_Grv4mi,38.7658,-121.5191,25.231029,0.081026564
2849,Glendora-Laurel,Glendora-Lrl,34.1444,-117.8499,33.573979,52.71161133
2855,Santa Clarita-County Fire Station,S_Clarita-FS,34.388,-118.5338,27.73812,75.67274902
2872,Broderick-3rd and B Streets,Broderic-3&B,38.5898,-121.5096,18.536725,63.58881348
2878,Indio-Jackson Street,Indio-Jacksn,33.7083,-116.2158,35.131515,52.05674316
2880,Simi Valley-Cochran Street,Simi_V-CchrS,34.2761,-118.6836,32.73191,9.699024048
2885,Calipatria-6.5 miles NW,Calipatr_6NW,33.1777,-115.39,42.319876,0
2888,Willows-N Villa Avenue,Willows-NVil,39.523,-122.2077,25.672967,0.111628532
2889,Dunnigan-Rest Area I5 East,Dunnigan-Rst,38.885,-121.9688,25.957328,2.142627563
2891,Auburn-Dewitt-C Avenue,Auburn-DwttC,38.9394,-121.1055,37.365783,1.014854355
2894,King City-750 Metz Road,King_Cty-Mtz,36.2269,-121.1152,26.301647,18.37960571
2897,Oceanside-Mission Avenue,Oceansid-Mis,33.2027,-117.3672,28.400288,24.46911865
2898,Pomona,Pomona,34.0666,-117.75,21.29436,61.29688965
2899,Los Angeles-North Main Street,Ls_Ang-NMain,34.0664,-118.2267,19.622265,129.4550098
2907,Lennox-La Cienega,Lennox,33.938,-118.352,18.503939,141.8129492
2914,Lakeport-Lakeport Blvd,Lakepor-Lake,39.033,-122.9219,25.416672,8.386455078
2915,Mammoth Lakes-Gateway HC,Mmth_Lk-Gtwy,37.6458,-118.9664,41.160078,16.37300049
2916,Kettleman City-CalTrans,Ket_Cty-CalT,36.0064,-119.9588,33.808182,2.565789185
2919,Maricopa-Stanislaus Street,Maricopa-Stn,35.0513,-119.4027,45.250192,0.018507578
2923,Barstow,Barstow,34.8938,-117.0244,32.60973,5.077765198
2933,Otay Mesa-Paseo International,Otay_Mesa,32.5516,-116.9383,26.369449,2.084267578
2937,Costa Mesa-Mesa Verde Drive,Cos_Mesa-MsV,33.6738,-117.9258,27.494498,69.17317383
2938,Vandenberg Air Force Base-Pt Arguello #2,Van_AFB-Pt#2,34.577,-120.64,40.722525,0
2939,Monterey-Silver Cloud Court,Montery-SlvC,36.573,-121.805,24.218358,19.09697388
2941,Arvin-Bear Mountain Blvd,Arvin-Br_Mtn,35.2086,-118.7758,43.047047,4.815080261
2942,Blythe-W Murphy Street,Blythe-WMrph,33.6119,-114.6013,21.506161,1.745769043
2943,Lake Elsinore-W Flint Street,Lake_Elsinor,33.6763,-117.3309,33.49401,15.49349731
2944,Battles-Betteravia Road,S_Maria-Bttl,34.9245,-120.4018,29.97985,93.65790039
2945,Wilsonia-Grant Grove,Wilsonia,36.7366,-118.9566,48.5981,0.00331082
2947,Gaviota-East,Gaviota-ChvE,34.4777,-120.2063,40.092265,0
2948,South Lake Tahoe-Sandy Way,S_Tahoe-Sndy,38.945,-119.9703,35.543323,7.745018311
2949,Yosemite National Park-Camp Mather,Yos_NP-Mathr,37.8933,-119.8415,38.152668,0.01807914
2950,Jalama Beach,Jalama Beach,34.5119,-120.4998,36.357249,0.043721147
2951,Ramona-Airport Road,Ramona-Airpt,33.0419,-116.8669,35.395652,3.517800598
2954,Gaviota-GTC Site B,Gaviota-GT#B,34.5275,-120.1963,29.607423,0.032118959
2955,Paso Robles-Santa Fe Avenue,Pas_Rob-Snta,35.6147,-120.6549,30.535869,22.435979
2956,Roseville-N Sunrise Blvd,Rosevil-NSun,38.7461,-121.2647,26.112544,32.66500977
2957,Paradise Road-Los Padres National Forest,Los_PadresNF,34.5416,-119.7911,37.451251,0.157846041
2958,Yuba City-Almond Street,Yuba_Cty-Alm,39.1388,-121.6191,23.880486,48.15765625
2962,Gaviota-West,Gaviota-ChvW,34.4777,-120.2125,38.163004,0
2963,Victorville-Armagosa Road,Victrvll-Arm,34.5041,-117.3297,36.400356,39.25184814
2964,San Diego-12th Avenue,Sn_Dieg-12th,32.7092,-117.1539,27.793282,63.74918457
2965,Atascadero-Lewis Avenue,Atascadero,35.4917,-120.6681,26.020456,12.01062744
2968,Sonora-Barretta Street,Sonora-Brret,37.9819,-120.3786,34.484646,5.909381714
2969,San Jose-935 Piedmont Road,San_Jose-935,37.3913,-121.8422,19.585051,120.274248
2970,Gaviota-GTC Site A,Gaviota-GT#A,34.4718,-120.2218,35.449294,0
2972,Lassen Volcanic Natl Park-Manzanita Lake,Lasn_Vlcn_NP,40.5372,-121.5764,39.940097,0
2973,San Leandro-County Hospital,Sn_Lndro-Hos,37.7099,-122.1163,21.007932,106.2290234
2974,Avalon-Crescent Avenue,Avalon-Crscn,33.34,-118.32,32.781618,0.706465454
2977,Elk Grove-Bruceville Road,Elk_Grv-Brcv,38.3025,-121.4208,25.067576,3.675054016
2978,Gaviota-GTC Site C,Gaviota-GT#C,34.4733,-120.1941,39.913739,0
2979,Nipomo-Guadalupe Road,Nipomo-Gudlp,35.0208,-120.5639,27.646753,0.012416588
2981,Shafter-Walker Street,Shafter-Wlkr,35.5036,-119.2725,28.208122,1.175906448
2982,Scotts Valley-Vine Hill,Scotts_V-Vin,37.06,-122,22.309864,19.85358154
2983,Pinnacles National Monument,Pinn_Nat_Mon,36.4991,-121.1717,33.172888,0.01915701
2984,Thousand Oaks-Moorpark Road,1000_Oaks-Mr,34.2099,-118.87,30.259181,23.81668457
2985,Watsonville-Airport Boulevard,Watsonvll-AP,36.9325,-121.7872,23.223164,5.962106934
2986,Point Reyes National Seashore,Pt_Reyes_NS,38.0413,-122.8002,27.886737,2.55113678
2988,Woodland-Sutter Street,Woodlnd-Sutr,38.683,-121.8122,20.602021,17.94695801
2990,Trona-Athol,Trona-Athol,35.7742,-117.3686,40.26597,0.037838144
2991,El Rio-Rio Mesa School #2,El_Rio-Sch#2,34.2522,-119.1431,28.918672,23.23823486
2992,Lompoc-HSandP,Lompoc-HS&P1,34.7233,-120.4258,36.458529,1.073600769
2993,Jackson-Clinton Road,Jackson-ClRd,38.3427,-120.7644,28.917521,9.860076904
2995,Santa Clarita-Honby,S_Clarita-Hn,34.4266,-118.4958,34.365882,63.86114258
2996,Turlock-S Minaret Street,Turlock-SMin,37.4883,-120.8364,26.642989,77.51024414
2997,Calexico-Grant Street,Calexic-Grnt,32.6739,-115.5164,31.593962,16.60762451
2998,Nipomo-Eucalyptus,Nipomo-Eclps,35.0208,-120.5336,27.47815,1.869088593
2999,Shingle Springs-Ponderosa High School,Shingle_Spr,38.6738,-120.9411,26.11988,21.8746582
3000,San Jose-W San Carlos Street,San_Jose-WSC,37.3244,-121.9243,14.336588,65.8179541
3001,Westley-Truck Stop,Westley,37.5383,-121.2719,33.419072,0.011323494
